r,k_6,k_20,k_50
0.0,0.9484,0.7223999999999999,0.5075999999999999
0.07142857142857142,0.8802666666666666,0.7454666666666666,0.4685333333333334
0.14285714285714285,0.6593333333333334,0.4556,0.5442666666666667
0.21428571428571427,0.10466666666666669,0.2689333333333333,0.6022666666666666
0.2857142857142857,0.07893333333333334,0.30960000000000004,0.6524
0.3571428571428571,0.0704,0.3628,0.7209333333333333
0.42857142857142855,0.0948,0.43626666666666664,0.7826666666666666
0.5,0.11746666666666668,0.5109333333333334,0.8529333333333332
0.5714285714285714,0.17200000000000001,0.6138666666666667,0.9170666666666666
0.6428571428571428,0.23040000000000002,0.7217333333333333,0.9643999999999999
0.7142857142857142,0.32760000000000006,0.8372,0.9903999999999998
0.7857142857142857,0.4801333333333333,0.9331999999999999,0.9989333333333335
0.8571428571428571,0.7132000000000001,0.9855999999999999,1.0
0.9285714285714285,0.9405333333333333,0.9998666666666667,1.0
1.0,1.0,1.0,1.0
